External ID,Nombre del contrato/cuenta,Cliente/ID (identificación),Cliente/NIF,Cliente/Nombre,Referencia,Compañía/Nombre de la compañía,Fecha de inicio,Fecha de caducidad,Precio fijo,Precio máx. factura,Unidades del servicio pre-pago,En imputaciones de horas,Tarifa/Nombre tarifa,Generar automáticamente facturas recurrentes,Descripción,Recurrencia,Repetir cada,Fecha de la proxima factura,Líneas de factura/Producto/ID,Líneas de factura/Producto/Nombre,Líneas de factura/Producto/Referencia interna,Líneas de factura/Descripción,Líneas de factura/Cantidad,Líneas de factura/Unidad de medida/Unidad de medida,Líneas de factura/Precio unitario,Líneas de factura/Descuento (%),Gestor contable/Nombre
__export__.account_analytic_account_114,19_MONTECHICO_Web,__export__.res_partner_427,ESB37321601,"AGROPECUARIA MONTECHICO, S.L.",AA122,"Soluciones Informáticas Integrales, S.L",2019-02-01,,False,0.0,6.0,False,Tarifa pública,True,,Mes(es),1,2020-01-26,__export__.product_product_8,MANTENIMIENTO WEB,,"SERVICIOS DE MANTENIMIENTO APLICACION WEB 
- Cuota Mensual -",1.0,Unidad(es),152.0,0.0,Ana
,,,,,,,,,,,,,,,,,,,__export__.product_product_8,MANTENIMIENTO WEB,,"SERVICIOS DE MANTENIMIENTO APLICACION WEB
 Cuota mensual en concepto de Promociones Addwords y Promociones Facebook",1.0,Unidad(es),200.0,0.0,
,,,,,,,,,,,,,,,,,,,__export__.product_product_8,MANTENIMIENTO WEB,,SERVICIO DE ATENCIÓN CHAT,1.0,Unidad(es),25.0,0.0,
__export__.account_analytic_account_188,19_RIN_SEO + Web,__export__.res_partner_853,ESB83347070,"ZAPATERIA RIN, S.L.",AA198,"Soluciones Informáticas Integrales, S.L",2019-02-01,,False,0.0,26.5,False,Tarifa pública,True,,Mes(es),1,2020-01-26,__export__.product_product_8,MANTENIMIENTO WEB,,SERVICIOS DE MANTENIMIENTO APLICACION WEB Y SEO,1.0,Unidad(es),1230.0,0.0,Ana
__export__.account_analytic_account_198,19_CHEMASPORT_Mant Conector,__export__.res_partner_486,ESB36325066,"RAJOY Y RICOY, S.L.",AA209,"Soluciones Informáticas Integrales, S.L",2016-02-01,,False,0.0,0.0,False,Tarifa pública,True,,Mes(es),1,2020-05-26,__export__.product_product_39,Conector Mantenimiento,,"Conector Mantenimiento
Mantenimiento mensual del conector Avelon_Prestashop.",1.0,Unidad(es),36.0,0.0,Diego Lago
__export__.account_analytic_account_199,19_YOLANDA_Mant Conector,__export__.res_partner_507,ESB15442411,"YOLANDA ZAPATERIAS, S.L.",AA210,"Soluciones Informáticas Integrales, S.L",2016-01-10,,False,0.0,0.0,False,Tarifa pública,True,,Mes(es),1,2020-01-26,__export__.product_product_39,Conector Mantenimiento,,"Conector Mantenimiento
Mantenimiento mensual del conector Avelon_Prestashop.",1.0,Unidad(es),36.0,0.0,Diego Lago
__export__.account_analytic_account_200,19_RIN_Mant Conector,__export__.res_partner_853,ESB83347070,"ZAPATERIA RIN, S.L.",AA211,"Soluciones Informáticas Integrales, S.L",2016-11-14,,False,0.0,0.0,False,Tarifa pública,True,,Mes(es),1,2020-05-26,__export__.product_product_39,Conector Mantenimiento,,"Conector Mantenimiento
Mantenimiento mensual del conector Avelon_Prestashop.",1.0,Unidad(es),36.0,0.0,Diego Lago
__export__.account_analytic_account_202,19_LUNA_Mant Conector,__export__.res_partner_643,ESB30896823,"BERASI SHOES,S.L.",AA213,"Soluciones Informáticas Integrales, S.L",2016-09-20,,False,0.0,0.0,False,Tarifa pública,True,,Mes(es),1,2020-01-26,__export__.product_product_39,Conector Mantenimiento,,"Conector Mantenimiento
Mantenimiento mensual del conector Avelon_Presashop.",1.0,Unidad(es),36.0,0.0,Diego Lago
__export__.account_analytic_account_203,Mant. Conector Agatha,__export__.res_partner_700,ESB83614594,"DREAM OF BEACH NIGHT, S.L    ",AA214,"Soluciones Informáticas Integrales, S.L",2016-09-01,,False,0.0,0.0,False,Tarifa pública,True,,Mes(es),1,2020-01-26,__export__.product_product_39,Conector Mantenimiento,,"Conector Mantenimiento
Mantenimiento mensual del conector Avelon_Prestashop.",1.0,Unidad(es),36.0,0.0,Diego Lago
__export__.account_analytic_account_204,Mant. Conector Bypeppas,__export__.res_partner_644,ESB86974763,GRUPO BY PEPPAS DISEÑADORES S.L.,AA215,"Soluciones Informáticas Integrales, S.L",2016-07-01,,False,0.0,0.0,False,Tarifa pública,True,,Mes(es),1,2020-06-26,__export__.product_product_39,Conector Mantenimiento,,"Conector Mantenimiento
Mantenimiento mensual del conector Avelon_Prestashop.",1.0,Unidad(es),36.0,0.0,Diego Lago
